epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9061,1.48077,2.38458,1.75245,0.40016,0.33647,0.28037,0.13273,1.67662,2.53086,2.04917,0.000660767,0.000660767,0.000660767
2,25.0679,1.48889,2.06019,1.76742,0.36601,0.39098,0.30952,0.15749,1.78694,2.39086,2.13277,0.00130553,0.00130553,0.00130553
3,37.2629,1.49339,1.93955,1.78447,0.49655,0.37406,0.34494,0.16821,1.7821,2.19976,2.02563,0.00192829,0.00192829,0.00192829
4,49.3578,1.5096,1.85982,1.79031,0.39896,0.41917,0.36171,0.17494,1.73114,1.92048,1.97713,0.001901,0.001901,0.001901
5,61.5564,1.49867,1.79862,1.78111,0.54493,0.42481,0.44344,0.23531,1.62636,1.79252,1.87906,0.001868,0.001868,0.001868
6,73.64,1.51881,1.74014,1.76609,0.47344,0.47932,0.4076,0.22151,1.6042,1.88652,1.88259,0.001835,0.001835,0.001835
7,85.7904,1.46048,1.7019,1.7344,0.48553,0.42857,0.41709,0.20802,1.70929,1.82389,1.95925,0.001802,0.001802,0.001802
8,97.8816,1.44025,1.62512,1.71021,0.56569,0.52256,0.53548,0.28457,1.57314,1.53118,1.82788,0.001769,0.001769,0.001769
9,109.932,1.42445,1.57703,1.71349,0.51983,0.48872,0.49135,0.25817,1.58371,1.6457,1.8357,0.001736,0.001736,0.001736
10,122.002,1.41003,1.52629,1.69377,0.53139,0.55075,0.50305,0.28564,1.5238,1.47739,1.74408,0.001703,0.001703,0.001703
11,134.095,1.40188,1.49895,1.66713,0.50612,0.53571,0.50176,0.28034,1.52576,1.51186,1.75204,0.00167,0.00167,0.00167
12,146.141,1.36943,1.4619,1.68374,0.55495,0.51692,0.52343,0.29054,1.53656,1.54186,1.7503,0.001637,0.001637,0.001637
13,158.31,1.40425,1.49557,1.66861,0.53052,0.48429,0.50027,0.27921,1.50791,1.57634,1.78177,0.001604,0.001604,0.001604
14,170.357,1.36496,1.44064,1.65043,0.50678,0.48684,0.47595,0.26551,1.53695,1.63776,1.76076,0.001571,0.001571,0.001571
15,182.422,1.34897,1.43522,1.66676,0.49522,0.58083,0.52942,0.28983,1.50289,1.51114,1.76049,0.001538,0.001538,0.001538
16,194.554,1.34467,1.42003,1.62143,0.49905,0.54491,0.52429,0.29203,1.4791,1.47537,1.73887,0.001505,0.001505,0.001505
17,206.778,1.31702,1.35303,1.62471,0.44962,0.48523,0.42156,0.23928,1.52541,1.71897,1.82947,0.001472,0.001472,0.001472
18,218.805,1.30265,1.33954,1.61221,0.59558,0.53383,0.56524,0.33434,1.44277,1.39631,1.66926,0.001439,0.001439,0.001439
19,230.87,1.31526,1.33825,1.62669,0.57071,0.56015,0.56474,0.32693,1.45132,1.39797,1.73375,0.001406,0.001406,0.001406
20,242.952,1.26647,1.29373,1.59598,0.52843,0.56767,0.57364,0.34894,1.39959,1.34416,1.67082,0.001373,0.001373,0.001373
21,255.023,1.27964,1.28576,1.59063,0.51636,0.60206,0.56988,0.32804,1.48506,1.35191,1.72485,0.00134,0.00134,0.00134
22,267.04,1.2751,1.30296,1.60919,0.59783,0.53947,0.58681,0.34816,1.40619,1.37627,1.66786,0.001307,0.001307,0.001307
23,279.102,1.25748,1.23668,1.55619,0.52765,0.65977,0.58875,0.36622,1.37874,1.33098,1.65292,0.001274,0.001274,0.001274
24,291.234,1.27661,1.26504,1.59423,0.51237,0.63534,0.59428,0.35682,1.375,1.31439,1.64148,0.001241,0.001241,0.001241
25,303.28,1.26572,1.25042,1.5815,0.57122,0.6485,0.60501,0.36003,1.41614,1.2614,1.64918,0.001208,0.001208,0.001208
26,315.383,1.26802,1.25436,1.57607,0.58387,0.60924,0.59681,0.35767,1.36076,1.28778,1.6211,0.001175,0.001175,0.001175
27,327.463,1.24214,1.22091,1.5462,0.55832,0.57976,0.56434,0.32972,1.4253,1.36494,1.68158,0.001142,0.001142,0.001142
28,339.553,1.24576,1.22747,1.54927,0.50203,0.67669,0.58076,0.35289,1.36857,1.3019,1.6274,0.001109,0.001109,0.001109
29,351.809,1.22637,1.19942,1.53658,0.54865,0.56015,0.54244,0.30778,1.45271,1.42407,1.70368,0.001076,0.001076,0.001076
30,363.881,1.24137,1.20152,1.5663,0.56371,0.61466,0.6118,0.36214,1.37389,1.27583,1.63907,0.001043,0.001043,0.001043
31,376.023,1.20788,1.17196,1.50396,0.5966,0.55263,0.57387,0.34459,1.39918,1.31398,1.66837,0.00101,0.00101,0.00101
32,388.03,1.19972,1.17594,1.52967,0.5103,0.60902,0.57074,0.34878,1.39162,1.3358,1.64241,0.000977,0.000977,0.000977
33,400.278,1.20245,1.13708,1.51757,0.55476,0.65038,0.58216,0.35302,1.38078,1.30579,1.64009,0.000944,0.000944,0.000944
